Product Link,Image URL,Category,Gender,Brand,Description,Ratings,Ratings Count,Price
https://www.myntra.com/jeans/highlander/highlander-men-black-tapered-fit-mid-rise-clean-look-stretchable-jeans/9162839/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9162839/2022/7/13/e22894f7-03cc-4ea8-8916-607d4146096d1657686472746HIGHLANDERMenBlackTaperedFitMid-RiseCleanLookStretchableJean1.jpg",jeans,M,HIGHLANDER,Men Tapered Fit Jeans,3.9,136100,571
https://www.myntra.com/jeans/flying+machine/flying-machine-men-straight-fit-low-distress-heavy-fade-stretchable-jeans/30525498/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/8/R5JlZADW_eb8a461b5b87416fabebb90ca9dab50d.jpg",jeans,M,Flying Machine,Men Straight Fit Jeans,3,5,1799
https://www.myntra.com/jeans/style+quotient/style-quotient-men-relaxed-fit-mid-rise-clean-look-cotton-cargo-jeans/28203884/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28203884/2024/3/12/534dcd71-6ab7-4a24-99fe-1d678a9cfaa11710233512639StyleQuotientMenStraightFitLowDistressJeans1.jpg",jeans,M,Style Quotient,Men Cotton Cargo Jeans,4.2,2000,1289
https://www.myntra.com/jeans/urbano+fashion/urbano-fashion-men-loose-fit-washed-non-stretchable-jeans-/27661968/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27661968/2024/9/6/cccf07e0-4e26-4f33-a318-349dd5bc4ad61725606982693-Urbano-Fashion-Men-Loose-Fit-Washed-Non-Stretchable-Jeans-29-6.jpg",jeans,M,Urbano Fashion,Men Relaxed Fit Jeans,3.8,5400,839
https://www.myntra.com/jeans/snitch/snitch-men-blue-baggy-fit-jeans/23356470/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23356470/2023/5/24/8a569dd1-d83c-4965-95dc-023b382eb1f21684904119473SnitchMenBlueWideLegHighlyDistressedStretchableJeans1.jpg",jeans,M,Snitch,Men Baggy Fit Jeans,4.3,468,1699
https://www.myntra.com/jeans/highlander/highlander-men-solid-straight-fit-stretchable-jeans/30754576/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30754576/2024/9/11/16894d99-1261-4372-95d5-b6d41ca5f45a1726071785581-HIGHLANDER-Men-Solid-Straight-Fit-Stretchable-Jeans-74217260-1.jpg",jeans,M,HIGHLANDER,Men Solid Straight Fit Jeans,3.9,998,526
https://www.myntra.com/jeans/highlander/highlander-men-blue-tapered-fit-mid-rise-clean-look-stretchable-jeans/8706059/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8706059/2022/8/25/600ba77d-27a6-4d99-8f31-b349edb6aec81661422693616-HIGHLANDER-Men-Blue-Tapered-Fit-Mid-Rise-Clean-Look-Stretcha-1.jpg",jeans,M,HIGHLANDER,Men Tapered Fit Jeans,3.9,136000,987
https://www.myntra.com/jeans/bushirt/bushirt-men-slim-fit-clean-look-heavy-fade-whiskers-stretchable-jeans/26785466/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26785466/2024/1/5/6d02fdd1-9fa2-4fe3-8ecf-d384f294c4d01704429959263BushirtMenBlueSlimFitMildlyDistressedStretchableJeans1.jpg",jeans,M,Bushirt,Men Slim Fit Stretchable Jeans,3.5,57,1461
https://www.myntra.com/jeans/kotty/kotty-women-blue-cotton-straight-fit-high-rise-stretchable-jeans/31271030/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/10/EYK2sWC3_3ff51897d165428486ed8f2a936aa44f.jpg",jeans,F,Kotty,Women Fit High-Rise Jeans,3.9,25,809
https://www.myntra.com/jeans/pepe+jeans/pepe-jeans-women-wide-leg-high-rise-heavy-fade-pure-cotton-jeans/25353954/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25353954/2023/10/5/9594bd8d-1ec3-4bbe-b4fd-320de005b9891696478948090PepeJeansWomenBlueWideLegHigh-RiseHeavyFadeJeans4.jpg",jeans,F,Pepe Jeans,Women Wide Leg High-Rise Jeans,3.3,57,1574
